event_date,year,sub_event_type,assoc_actor_1,actor2,country,admin1,admin2,admin3,location,latitude,longitude,notes,fatalities,tags,population_best,Topic,final_estimate
2025-05-08,2025,Peaceful protest,Students (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 8 may 2025, around 20 pro-palestinian students from the student coordination for palestine (coordination etudiante pour la palestine - cep) occupied the unimail hall at the university of geneva in geneva (geneve) to demand the immediate suspension of the university's collaborations with israeli institutions. around 40 students spent the night on site as a protest.",0,crowd size=up to around 40,53174,Palestine,40
2025-05-07,2025,Peaceful protest,Students (Switzerland),NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 7 may 2025, students blocked access to the unil campus in lausanne (vaud) to express solidarity with the palestinian people, condemn what they considered an israeli 'genocide' of gazans, and call on swiss universities to stop cooperating with their israeli counterparts.",0,NA,42825,Palestine,NA
2025-05-03,2025,Peaceful protest,Catholic Christian Group (Switzerland); SVP/UDC/PPS: Swiss People's Party,Protesters (Switzerland),Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 3 may 2025, at 10:45 am, at the call of udc member eric bertinat, around 40 anti-abortion catholics and priests gathered on du mont-blanc street in geneva (geneve) to oppose abortion, holding banners such as 'this little body in your body is not your body'. in response, around 80 pro-choice activists, including members of feminist associations and the lgbtq+ community, staged a protest by beating casseroles and holding banners reading 'take your rosaries off our ovaries!' and 'a baby is a choice, abortion is a right!'. around 30 police officers separated the groups, and no clashes were reported.",0,crowd size=around 120,53174,Feminist,120
2025-05-01,2025,Peaceful protest,Labor Group (Switzerland); PS/SP: Swiss Socialist Party - Social Democratic Party of Switzerland,NA,Switzerland,Basel-Stadt,Basel-Stadt,NA,Basel,47.5596,7.5886,"on 1 may 2025, on the occasion of labor and international workers' day, between 3,000 and 5,000 people, including pro-palestinian activists waving palestinian flags, union members, ps/sp affiliates, and anti-capitalist activists, marched through the streets of basel (basel-stadt) to demand better working conditions, calling for solidarity rather than hatred and against the far right. members of the pro-palestinian bloc explicitly voiced opposition to state violence and western complicity, culminating in speeches critical of institutions such as ubs. later in the day, some participants threw tomatoes at the ubs bank headquarters and police vans.",0,crowd size=between 3000 and 5000,16171,Palestine,4000
2025-05-01,2025,Peaceful protest,Labor Group (Switzerland),NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 1 may 2025, on the occasion of labor and international workers' day, around 500 people gathered at chateau square and marched through the streets of lausanne (vaud) to demand better working conditions, calling for solidarity rather than hatred, and protest against the far-right.",0,crowd size=around 500,42825,Workers,500
2025-05-01,2025,Peaceful protest,Labor Group (Switzerland),NA,Switzerland,Vaud,Jura-Nord vaudois,NA,Yverdon,46.7793,6.6411,"on 1 may 2025, on the occasion of labor and international workers' day, people gathered in yverdon (vaud) to demand better working conditions.",0,NA,16492,Workers,NA
2025-05-01,2025,Peaceful protest,Government of Switzerland (2023-); Green Party of Switzerland; Kurdish Ethnic Group (Switzerland); Labor Group (Switzerland); PKK: Kurdistan Workers' Party; PS/SP: Swiss Socialist Party - Social Democratic Party of Switzerland; Unia,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 1 may 2025, in the afternoon, on the occasion of labor and international workers' day, between 1,600 (according to police) and 4,000 (unions) people, including municipal councilor marjorie de chastonay (green party) and state councilor carole-anne kast (ps/sp), and unia members, gathered at lise-girardin square in geneva (geneve) for a procession which ended at bastions park to demand better working conditions, express solidarity with the workers of gaza, and denounce switzerland's 'complicity' in killings in gaza by supporting israel. pkk supporters also attended the event, demanding the release of their leader abdullah ocalan.",0,crowd size=between 1600 and 4000,53174,Palestine,2800
2025-05-01,2025,Peaceful protest,Labor Group (International); Labor Group (Switzerland); UN: United Nations; UNCTAD: United Nations Trade and Development; UNHCR: United Nations Refugee Agency,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 1 may 2025, on the occasion of labor and international workers' day, around 500 people, including un and ilo employees (including unhcr and unctad), gathered at the nations' square in geneva (geneve) to condemn budget cuts and mass layoffs at un agencies, expressing concerns for their jobs and for populations 'on the ground' who will be affected.",0,crowd size=around 500,53174,Other,500
2025-05-01,2025,Peaceful protest,Government of Switzerland (2023-); Labor Group (Switzerland); PS/SP: Swiss Socialist Party - Social Democratic Party of Switzerland,NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 1 may 2025, on the occasion of labor and international workers' day, more than 1,000 people, including bern mayor marieke kruit (ps/sp) marched through the streets of bern (bern) to demand better working conditions, calling for solidarity rather than hatred, and protest against the far-right.",0,crowd size=more than 1000,7469,Workers,1000
2025-05-01,2025,Peaceful protest,Government of Switzerland (2023-); Labor Group (Switzerland); PS/SP: Swiss Socialist Party - Social Democratic Party of Switzerland,NA,Switzerland,Bern,Biel-Bienne,NA,Biel/Bienne,47.1495,7.2594,"on 1 may 2025, on the occasion of labor and international workers' day, around 400 people, including state councilor flavia wasserfallen (ps/sp), marched along the general-dufour road in biel/bienne (bern) to demand better working conditions, calling for solidarity rather than hatred, and protest against the far-right.",0,crowd size=around 400,7120,Workers,400
2025-05-01,2025,Peaceful protest,Government of Switzerland (2023-); Labor Group (Switzerland); PS/SP: Swiss Socialist Party - Social Democratic Party of Switzerland,NA,Switzerland,Fribourg,Sarine,NA,Fribourg,46.8065,7.162,"on 1 may 2025, on the occasion of labor and international workers' day, nearly 300 people, including federal councilor elizabeth baume-schneider (ps/sp), gathered at george-python square in fribourg (fribourg) to demand better working conditions, calling for solidarity rather than hatred, and protest against the far-right. during the federal councilor's speech, some pro-palestinian attendees heckled her without further incident.",0,crowd size=nearly 300,7109,Palestine,300
2025-05-01,2025,Peaceful protest,Kurdish Ethnic Group (Switzerland); Labor Group (Switzerland); Unia; Women (Switzerland),NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 1 may 2025, at 5 pm, on the occasion of labor and international workers' day, more than 500 people, including kurdish activists, union members, and the unia vaud president, gathered for a march at chateau square in lausanne (vaud) towards montbenon casino to condemn the canton's proposal for a minimum wage, which they considered insufficient, and protest against planned tax cuts for higher earners. attendees also condemned far-right ideology, attacks on women's rights, setbacks in gender equality, and the spread of hate speech targeting foreigners. a few palestinian flags were present at the event in solidarity with people in gaza.",0,crowd size=more than 500,42825,Palestine,500
2025-04-29,2025,Peaceful protest,Labor Group (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 29 april 2025, about 80 uber drivers gathered in plainpalais in geneva (geneve) to call for uber drivers to be able to choose if they are considered employed or self-employed.",0,crowd size=about 80,53174,Workers,80
2025-04-29,2025,Peaceful protest,Labor Group (Switzerland); Students (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 29 april 2025, at noon, at the call of the university conference of student associations (conference universitaire des associations d'etudiant - cuae) student union, around 100 students and researchers gathered outside the uni mail building at the university of geneva in geneva (geneve) to protest against federal budget cuts. demonstrators denounced the planned reduction of 460 million francs in education and research funding, warning of threats to 700 research projects and 2,000 university jobs. they also criticized the proposed tuition hikes, especially for foreign students, as discriminatory and harmful to academic accessibility.",0,crowd size=around 100,53174,Workers,100
2025-04-26,2025,Peaceful protest,LGBTQ+ (Switzerland); Women (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 26 april 2025, people, mostly women and members of the lgbtq+ community, demonstrated in geneva (geneve) for a lesbian pride march, demanding that the rights of lesbians be protected around the world. the protesters also condemned anti-trans hate and fascism.",0,NA,53174,LGBTQ+,NA
2025-04-24,2025,Peaceful protest,NCRI: National Council of Resistance of Iran,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 24 april 2025, iranian nationals and ncri affiliates gathered on nations square in geneva (geneve) to protest against the execution of two prisoners in iran. the protesters deemed their sentence politically motivated and demanded that the international community act to save them.",0,NA,53174,International,NA
2025-04-21,2025,Peaceful protest,EVP/PEV: Evangelical People's Party of Switzerland; Government of Switzerland (2023-),NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 21 april 2025, in the afternoon, several hundred people, including national councilor marc jost (evp/pev), gathered in bern (bern) to demand peace and protest against nuclear and military rearmament. speakers called for switzerland to sign the treaty on the prohibition of nuclear weapons and emphasized the urgency of defending peace following the death of pope francis. the demonstration was part of the traditional easter march for peace in switzerland.",0,crowd size=300,7469,Other,300
2025-04-18,2025,Peaceful protest,Women (Switzerland),NA,Switzerland,Fribourg,Gruyere,NA,Bulle,46.6193,7.0582,"on 18 april 2025, at 10 am, around 350 people held a silent march in bulle (fribourg) to call for stronger measures against sexist and sexual violence. the demonstration was organized in response to the femicide of a 39-year-old woman killed by her husband eight days earlier in epagny (fribourg). participants criticized systemic failures in protecting victims and demanded that authorities allocate adequate resources to combat gender-based violence.",0,crowd size=around 350,18622,Feminist,350
2025-04-16,2025,Peaceful protest,Women (Switzerland),NA,Switzerland,Fribourg,Sarine,NA,Fribourg,46.8065,7.162,"on 16 april 2025, at the call of the fribourg branch of feminist strike (greve feministe), around 300 people gathered in fribourg (fribourg) to demand stronger state measures against sexist and sexual violence following the murder of a 39-year-old woman by her husband in epagny (fribourg) on 10 april 2025. protesters, many holding candles and tape, denounced the canton's inaction and called for increased resources to protect victims.",0,crowd size=300,7109,Feminist,300
2025-04-12,2025,Peaceful protest,"Antifa; BDS: Boycott, Divestment and Sanctions",NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 12 april 2025, at the call of bds and the antifascist action (action antifasciste), around 2,000 people demonstrated in geneva (geneve) to express solidarity with the palestinian people, demand the release of palestinian prisoners in israel, and condemn the israeli military offensive on palestine.",0,crowd size=around 2000,53174,Palestine,2000
2025-04-12,2025,Peaceful protest,"BDS: Boycott, Divestment and Sanctions",NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 12 april 2025, at the call of bds, around 2,500 people demonstrated in lausanne (vaud) to express solidarity with the palestinian people, demand the release of palestinian prisoners in israel, and condemn the israeli military offensive on palestine.",0,crowd size=around 2500,42825,Palestine,2500
2025-04-11,2025,Peaceful protest,Climate Strike,NA,Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 11 april 2025, at the call of climate strike, 2,500 people took to the streets in zurich (zurich) to demand switzerland's withdrawal from the energy charter treaty, which they criticized as overly protective of fossil fuel investors. protesters called for stronger state action to address the climate crisis and align with environmental goals. the event was part of a broader day of climate mobilizations held across several swiss cities.",0,crowd size=2500,35782,Climate,2500
2025-04-11,2025,Peaceful protest,Climate Strike,NA,Switzerland,Luzern,Luzern-Stadt,NA,Lucerne,47.0502,8.3084,"on 11 april 2025, at the call of climate strike, around 100 people took part in a demonstrative bike ride in lucerne (luzern) to demand switzerland's withdrawal from the energy charter treaty, which they criticized as overly protective of fossil fuel investors. protesters called for stronger state action to address the climate crisis and align with environmental goals. the event was part of a broader day of climate mobilizations held across several swiss cities.",0,crowd size=around 100,6996,Climate,100
2025-04-11,2025,Peaceful protest,Climate Strike,NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 11 april 2025, at the call of climate strike, around 2,000 people took to the streets in bern (bern) to demand switzerland's withdrawal from the energy charter treaty, which they criticized as overly protective of fossil fuel investors. protesters called for stronger state action to address the climate crisis and align with environmental goals. the event was part of a broader day of climate mobilizations held across several swiss cities.",0,crowd size=around 2000,7469,Climate,2000
2025-04-11,2025,Peaceful protest,Labor Group (France); Labor Group (Switzerland); Protesters (Switzerland); Unia,NA,Switzerland,Vaud,Lavaux-Oron,NA,Pully,46.5098,6.6617,"on 11 april 2025, in the morning, at the call of unia and several unspecified french unions, more than 150 employees of the tetra pak factory in longvic (france) demonstrated from lausanne to pully (vaud) to protest against the planned closure of their site. protesters denounced the decision as purely financial and called on the company to preserve the 200 jobs at risk. the action included a symbolic march along lake geneva.",0,crowd size=more than 150,9108,Workers,150
2025-04-11,2025,Peaceful protest,Climate Strike,NA,Switzerland,Aargau,Aarau,NA,Aarau,47.3924,8.0441,"on 11 april 2025, at the call of climate strike, people demonstrated in aarau (aargau) to demand switzerland's withdrawal from the energy charter treaty, which they criticized as overly protective of fossil fuel investors. protesters called for stronger state action to address the climate crisis and align with environmental goals. the event was part of a broader day of climate mobilizations held across several swiss cities.",0,NA,7196,Climate,NA
2025-04-11,2025,Peaceful protest,Climate Strike,NA,Switzerland,Neuchatel,Neuchatel,NA,Neuchatel,46.99,6.9293,"on 11 april 2025, at the call of climate strike, people demonstrated in neuchatel (neuchatel) to demand switzerland's withdrawal from the energy charter treaty, which they criticized as overly protective of fossil fuel investors. protesters called for stronger state action to address the climate crisis and align with environmental goals. the event was part of a broader day of climate mobilizations held across several swiss cities.",0,NA,6328,Climate,NA
2025-04-11,2025,Peaceful protest,Climate Strike,NA,Switzerland,Solothurn,Solothurn,NA,Solothurn,47.2079,7.5371,"on 11 april 2025, in the evening, at the call of climate strike, people demonstrated in solothurn (solothurn) to demand switzerland's withdrawal from the energy charter treaty, which they criticized as overly protective of fossil fuel investors. protesters called for stronger state action to address the climate crisis and align with environmental goals. the event was part of a broader day of climate mobilizations held across several swiss cities.",0,NA,5980,Climate,NA
2025-04-09,2025,Peaceful protest,Students (Switzerland),NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 9 april 2025, around 30 people, including students and pro-palestine activists, gathered outside the court of justice in lausanne (vaud) to express solidarity with professor joseph daher, whose contract was announced not be renewed by the university of lausanne (unil) at the time of reporting. the protesters argued that the decision was politically motivated due to daher's support for the pro-palestine student movement and called for his reinstatement.",0,crowd size=around 30,42825,Palestine,30
2025-04-09,2025,Peaceful protest,Government of France (2017-); Government of Switzerland (2023-); Health Workers (Switzerland); Protesters (France); Women (Switzerland),NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 9 april 2025, at the call of elders for the climate (ainees pour le climat), doctors in favor of the environment (medecins en faveur du climat), and greenpeace, more than 400 people, mostly women, and including local elected officials from strasbourg (france) and bern, gathered in bern (bern) to demand stronger state action against climate change. protesters unveiled a 2.5-ton memorial stone from strasbourg, symbolizing continued pressure on swiss authorities one year after the european court of human rights ruled that the swiss state was failing to sufficiently protect citizens from the effects of global warming.",0,crowd size=more than 400,7469,Climate,400
2025-04-04,2025,Peaceful protest,PS/SP: Swiss Socialist Party - Social Democratic Party of Switzerland; Women (Switzerland),NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 4 april 2025, at the call of the youth wing of ps/sp, 300 people gathered in bern (bern) to protest against femicides and violence against women. participants lit candles and observed a minute of silence in memory of the twelve women killed since the beginning of the year. the demonstrators criticized the swiss authorities for failing to adequately protect women and called for the full implementation of the istanbul convention, a dedicated law against gender-based violence, and increased funding for prevention and protection programs.",0,crowd size=300,7469,Feminist,300
2025-04-01,2025,Peaceful protest,Students (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 1 april 2025, students gathered outside the university campus in geneva (geneve) to express solidarity with the palestinian people and condemn the israeli airstrikes on gaza.",0,NA,53174,Palestine,NA
2025-03-29,2025,Peaceful protest,NA,NA,Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 29 march 2025, in the morning, at the call of the campax swiss citizens' movement, around 20 people demonstrated outside a tesla dealership in zurich (zurich) to protest against elon musk, owner of tesla and x. the event was part of a global campaign organized by the tesla takedown movement, which sought to target tesla's ceo elon musk and his company and criticize his policies within the trump administration in the u.s.",0,crowd size=around 20,35782,International,20
2025-03-24,2025,Peaceful protest,NA,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 24 march 2025, serbian nationals gathered in geneva (geneve), demanding accountability for the victims of the novi sad railway station's canopy collapse and observing 16 minutes of silence as part of the 'serbia, stop' campaign. the event was part of a larger anti-corruption protest movement led by students in serbia and the serbian diaspora abroad triggered by a deadly canopy collapse at the novi sad train station on 1 november 2024.",0,NA,53174,Serbian,NA
2025-03-21,2025,Peaceful protest,NA,NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 21 march 2025, at the call of the collective urgency palestine (collectif urgence palestine), around 400 people gathered at 14 juin square and then marched through lausanne (vaud) without authorization to express their support for palestine. police redirected the procession with a vehicle to prevent it from approaching the synagogue, but did not disperse the crowd or make arrests.",0,crowd size=around 400,42825,Palestine,400
2025-03-20,2025,Peaceful protest,Teachers (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 20 march 2025, around 1,500 teachers staged a protest in geneva (geneve) to denounce a directive by the department of public instruction (dip) that would increase their workload across all levels of education. protesters described the measure as an insidious attempt to impose additional duties without proper consultation.",0,crowd size=around 1500,53174,Other,1500
2025-03-16,2025,Peaceful protest,NA,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 16 march 2025, at the call of the committee of solidarity with the ukrainian people, around 100 ukrainian nationals gathered outside the russian mission in geneva (geneve) to express solidarity with the ukrainian people and protest against u.s. president donald trump's decision to strike a deal with russian president vladimir putin, whom they labeled an 'assassin'.",0,crowd size=around 100,53174,Ukraine,100
2025-03-10,2025,Peaceful protest,Government of Switzerland (2023-); Labor Group (Switzerland),NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 10 march 2025, at the call of the municipality of saint-cergue, about 50 saint-cergue residents, including pensioners and municipal councilors, gathered outside the council of states in bern (bern) to call for the preservation of the post office in their village, denouncing the impact its disappearance would have on local public services.",0,crowd size=about 50,7469,Other,50
2025-03-09,2025,Peaceful protest,NA,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 9 march 2025, several hundred serbian nationals gathered in geneva (geneve), demanding accountability for the victims of the novi sad railway station's canopy collapse and observing 16 minutes of silence as part of the 'serbia, stop' campaign. the event was part of a larger anti-corruption protest movement led by students in serbia and the serbian diaspora abroad triggered by a deadly canopy collapse at the novi sad train station on 1 november 2024.",0,crowd size=300,53174,Serbian,300
2025-03-08,2025,Peaceful protest,"BDS: Boycott, Divestment and Sanctions; Labor Group (Switzerland); LGBTQ+ (Switzerland); Protesters (Afghanistan); Students (Switzerland); Women (Afghanistan); Women (Switzerland)",NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 8 march 2025, at the call of the feminist strike (greve feministe), around 2,500 people, including bds members, lgbtq+ individuals, students and afghan women, marched in geneva (geneve) to protest against what was defined as israel's 'genocide' in gaza, to protest against the taliban-led government, to demand improved working conditions, wage equality, and stronger measures to combat gender-based discrimination and violence.",0,crowd size=around 2500,53174,Feminist,2500
2025-03-08,2025,Peaceful protest,Labor Group (Switzerland); LGBTQ+ (Switzerland); Women (Switzerland),NA,Switzerland,Basel-Stadt,Basel-Stadt,NA,Basel,47.5596,7.5886,"on 8 march 2025, several hundred protesters, including lgbtq+ members took to the streets in basel (basel-stadt) to demand improved working conditions, wage equality, and stronger measures to combat gender-based discrimination and violence.",0,crowd size=300,16171,LGBTQ+,300
2025-03-08,2025,Peaceful protest,Labor Group (Switzerland); LGBTQ+ (Switzerland); Women (Switzerland),NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 8 march 2025, several hundred protesters, including lgbtq+ members took to the streets in bern (bern) to demand improved working conditions, wage equality, and stronger measures to combat gender-based discrimination and violence.",0,crowd size=300,7469,LGBTQ+,300
2025-03-08,2025,Peaceful protest,Jewish Group (Switzerland); Labor Group (Switzerland); Women (Switzerland),NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 8 march 2025, at the call of the feminist strike (greve feministe), between 2,300 (according to the police) and more than 5,000 (according to the organizers) people marched from the montbenon esplanade to pionnieres square in lausanne (vaud) to protest against the rise of fascism and to demand improved working conditions, wage equality, and stronger measures to combat gender-based discrimination and violence. protesters held a black banner reading 'anticapitalist feminists'. about 20 people from the jewish community tried to join the march but with a message against the repression of women under islamist ideology. the march proceeded for a few hundred meters split into two, i.e. the main bloc and the jewish group, which eventually left, after the main bloc formed an 'anti-zionist' human chain.",0,crowd size=between 2300 and more than 5000,42825,Feminist,3650
2025-03-01,2025,Peaceful protest,NA,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 1 march 2025, at the call of russia of the future (russie du futur), around 50 russian nationals gathered on des nations square in geneva (geneve) to demand an end to russia's invasion of ukraine, vladimir putin's resignation, and more economic support for ukraine. the event was part of an international protest movement of russian opponents to the war against ukraine. protesters also organized an open-air exhibition highlighting the living conditions of russian political prisoners.",0,crowd size=around 50,53174,Ukraine,50
2025-03-01,2025,Peaceful protest,NA,NA,Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 1 march 2025, at the call of russia of the future (russie du futur), around 20 russian nationals gathered on europe square in zurich (zurich) to demand an end to russia's invasion of ukraine, vladimir putin's resignation, and more economic support for ukraine. the event was part of an international protest movement of russian opponents to the war against ukraine.",0,crowd size=around 20,35782,Ukraine,20
2025-03-01,2025,Peaceful protest,NA,NA,Switzerland,Bern,Bern-Mittelland,NA,Bern,46.9483,7.4514,"on 1 march 2025, serbian nationals gathered in bern (bern), demanding accountability for the victims of the novi sad railway station's canopy collapse. the event was part of a larger anti-corruption protest movement led by students in serbia and the serbian diaspora abroad triggered by a deadly canopy collapse at the novi sad train station on 1 november 2024.",0,NA,7469,Serbian,NA
2025-03-01,2025,Peaceful protest,NA,NA,Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 1 march 2025, serbian nationals gathered in zurich (zurich), demanding accountability for the victims of the novi sad railway station's canopy collapse. the event was part of a larger anti-corruption protest movement led by students in serbia and the serbian diaspora abroad triggered by a deadly canopy collapse at the novi sad train station on 1 november 2024.",0,NA,35782,Serbian,NA
2025-03-01,2025,Peaceful protest,NA,NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 1 march 2025, serbian nationals gathered in lausanne (vaud), demanding accountability for the victims of the novi sad railway station's canopy collapse. the event was part of a larger anti-corruption protest movement led by students in serbia and the serbian diaspora abroad triggered by a deadly canopy collapse at the novi sad train station on 1 november 2024.",0,NA,42825,Serbian,NA
2025-02-24,2025,Peaceful protest,NA,NA,Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 24 february 2025, after 6 pm, at the call of the association helvetia for ukraine, around 2,000 people marched from helvetiaplatz to the town hall in zurich (zurich) to express solidarity with ukraine. the event was held to mark the third anniversary of russia's full-scale invasion of ukraine and the ongoing war that followed. protesters waved ukrainian flags.",0,crowd size=around 2000,35782,Ukraine,2000
2025-02-24,2025,Peaceful protest,Government of Switzerland (2023-); Protesters (Ukraine); Refugees/IDPs (Ukraine),NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 24 february 2025, at the call of the ukraine vaud committee (comite ukraine vaud), between 100 (according to the police) and 400 people, including ukrainian nationals and refugees as well as members of political parties, gathered in du 14 juin square in lausanne (lausanne) to ask for an end to the conflict between ukraine and russia. the event was held to mark the third anniversary of russia's full-scale invasion of ukraine and the ongoing war that followed.",0,crowd size=between 200 and 400,42825,Ukraine,300
